1,Mac Book Pro,649.99
2,Tablet Huawei T5,149.99
3,Playstation 4,399.99
4,Kindle Paperwhite,99.99
5,WD Elements 1 TB,129.99
6,Samsung Tab A,189.95
7,Nintendo Switch,299.99
8,Samsung Evo SSD 256 GB,89.99
9,Nintendo 3DS,129.99
10,HDMI VGA Adapter,9.99
11,Kingston Pendrive 128 GB,45.99
12,Logitech Mouse M105,25.50
13,ASUS VivoBook L203MA,259.99
14,Lenovo Ideapad 14 HD, 359.99
15,Acer Swift Laptop 14 FHD, 549.99
16,Apple Airpods,105.49
17,Fast Charge USB, 9.99
18,Logitech M570 Wireless, 18.55
19,Cable HDMI HDR 4K, 12.99
20,Monitor DELL 19, 549.99